date,Asset,Value
6/22/2020,AMC,5.33
6/23/2020,AMC,5.1
6/24/2020,AMC,4.79
6/25/2020,AMC,4.27
6/26/2020,AMC,4.18
6/29/2020,AMC,4.42
6/30/2020,AMC,4.29
7/1/2020,AMC,4.57
7/2/2020,AMC,4.53
7/6/2020,AMC,4.28
7/7/2020,AMC,4.13
7/8/2020,AMC,4.43
7/9/2020,AMC,4.57
7/10/2020,AMC,4.6
7/13/2020,AMC,4.26
7/14/2020,AMC,4.22
7/15/2020,AMC,4.5
7/16/2020,AMC,4.38
7/17/2020,AMC,4.27
7/20/2020,AMC,4.15
7/21/2020,AMC,4.15
7/22/2020,AMC,4.03
7/23/2020,AMC,4.06
7/24/2020,AMC,4
7/27/2020,AMC,3.87
7/28/2020,AMC,4.15
7/29/2020,AMC,4.16
7/30/2020,AMC,4.12
7/31/2020,AMC,4.04
8/3/2020,AMC,4.11
8/4/2020,AMC,4.1
8/5/2020,AMC,4.15
8/6/2020,AMC,4.14
8/7/2020,AMC,4.75
8/10/2020,AMC,4.47
8/11/2020,AMC,4.56
8/12/2020,AMC,4.64
8/13/2020,AMC,5.31
8/14/2020,AMC,5.54
8/17/2020,AMC,5.6
8/18/2020,AMC,5.35
8/19/2020,AMC,5.39
8/20/2020,AMC,5.69
8/21/2020,AMC,5.19
8/24/2020,AMC,5.41
8/25/2020,AMC,5.54
8/26/2020,AMC,5.6
8/27/2020,AMC,6.52
8/28/2020,AMC,6.3
8/31/2020,AMC,5.88
9/1/2020,AMC,6.07
9/2/2020,AMC,7.04
9/3/2020,AMC,6.6
9/4/2020,AMC,7.02
9/8/2020,AMC,6.42
9/9/2020,AMC,6.26
9/10/2020,AMC,5.94
9/11/2020,AMC,5.79
9/14/2020,AMC,5.54
9/15/2020,AMC,5.52
9/16/2020,AMC,5.76
