ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value,delta
GOOGL,12/21/2017,1070.85,1247608,1075.39,1077.52,1069,0%
GOOG,12/21/2017,1063.63,986548,1064.95,1069.33,1061.7938,0%
MSFT,12/21/2017,85.5,17939970,86.05,86.1,85.4,-1%
TSLA,12/21/2017,331.66,4369994,329.59,333.74,327.21,1%
AAPL,12/22/2017,175.01,16339690,174.68,175.424,174.5,0%
AMZN,12/22/2017,1168.36,1575845,1172.08,1174.6199,1167.8301,0%
GOOGL,12/22/2017,1068.86,885293,1070,1071.72,1067.64,0%
GOOG,12/22/2017,1060.12,755089,1061.11,1064.2,1059.44,0%
MSFT,12/22/2017,85.51,14071140,85.4,85.63,84.92,0%
TSLA,12/22/2017,325.2,4207602,329.51,330.9214,324.82,-1%
AAPL,12/23/2017,175.01,16339690,174.68,175.424,174.5,0%
AMZN,12/23/2017,1168.36,1575845,1172.08,1174.6199,1167.8301,0%
GOOGL,12/23/2017,1068.86,885293,1070,1071.72,1067.64,0%
GOOG,12/23/2017,1060.12,755089,1061.11,1064.2,1059.44,0%
MSFT,12/23/2017,85.51,14071140,85.4,85.63,84.92,0%
TSLA,12/23/2017,325.2,4207602,329.51,330.9214,324.82,-1%
AAPL,12/24/2017,175.01,16339690,174.68,175.424,174.5,0%
AMZN,12/24/2017,1168.36,1575845,1172.08,1174.6199,1167.8301,0%
GOOGL,12/24/2017,1068.86,885293,1070,1071.72,1067.64,0%
GOOG,12/24/2017,1060.12,755089,1061.11,1064.2,1059.44,0%
MSFT,12/24/2017,85.51,14071140,85.4,85.63,84.92,0%
TSLA,12/24/2017,325.2,4207602,329.51,330.9214,324.82,-1%
AAPL,12/25/2017,175.01,16339690,174.68,175.424,174.5,0%
AMZN,12/25/2017,1168.36,1575845,1172.08,1174.6199,1167.8301,0%
GOOGL,12/25/2017,1068.86,885293,1070,1071.72,1067.64,0%
GOOG,12/25/2017,1060.12,755089,1061.11,1064.2,1059.44,0%
MSFT,12/25/2017,85.51,14071140,85.4,85.63,84.92,0%
TSLA,12/25/2017,325.2,4207602,329.51,330.9214,324.82,-1%
AAPL,12/26/2017,170.57,33113340,170.8,171.47,169.679,0%
AMZN,12/26/2017,1176.76,1988906,1168.36,1178.32,1160.55,1%
GOOGL,12/26/2017,1065.85,918251,1068.64,1068.86,1058.6401,0%
GOOG,12/26/2017,1056.74,761097,1058.07,1060.12,1050.2,0%
MSFT,12/26/2017,85.4,9883700,85.31,85.5346,85.03,0%
TSLA,12/26/2017,317.29,4368699,323.83,323.94,316.58,-2%
AAPL,12/27/2017,170.6,21477380,170.1,170.78,169.71,0%
AMZN,12/27/2017,1182.26,1866171,1179.91,1187.29,1175.61,0%
GOOGL,12/27/2017,1060.2,1115893,1066.6,1068.27,1058.38,-1%
GOOG,12/27/2017,1049.37,1271780,1057.39,1058.37,1048.05,-1%
MSFT,12/27/2017,85.71,14662250,85.65,85.98,85.215,0%
TSLA,12/27/2017,311.64,4705084,316,317.68,310.75,-1%
AAPL,12/28/2017,171.08,16412270,171,171.85,170.48,0%
AMZN,12/28/2017,1186.1,1838549,1189,1190.1,1184.38,0%
